Timestamp,RTU_1 DAClgSetpt(°F)
18-Apr-19 08:00:00 am,59.4
18-Apr-19 04:00:00 pm,60.4
19-Apr-19 04:00:00 am,62.7
19-Apr-19 08:00:00 am,60.6
19-Apr-19 04:00:00 pm,60.5
22-Apr-19 04:00:00 am,63.1
22-Apr-19 08:00:00 am,63.6
22-Apr-19 12:00:00 pm,59.5
22-Apr-19 04:00:00 pm,60.6
23-Apr-19 04:00:00 am,63.8
23-Apr-19 12:00:00 pm,59.7
23-Apr-19 04:00:00 pm,60.8
24-Apr-19 04:00:00 am,62.8
24-Apr-19 12:00:00 pm,59.5
24-Apr-19 04:00:00 pm,60.5
25-Apr-19 04:00:00 am,62.7
25-Apr-19 12:00:00 pm,59.4
25-Apr-19 04:00:00 pm,60.8
26-Apr-19 04:00:00 am,64.5
26-Apr-19 12:00:00 pm,59.8
26-Apr-19 04:00:00 pm,60.3
29-Apr-19 04:00:00 am,62.7
29-Apr-19 08:00:00 am,60.9
29-Apr-19 12:00:00 pm,58.7
29-Apr-19 04:00:00 pm,60.5
30-Apr-19 04:00:00 am,63.8
30-Apr-19 08:00:00 am,60.3
30-Apr-19 12:00:00 pm,55.8
30-Apr-19 04:00:00 pm,60.7
01-May-19 04:00:00 am,62.8
01-May-19 08:00:00 am,61.8
01-May-19 12:00:00 pm,59.8
01-May-19 04:00:00 pm,60.5
02-May-19 04:00:00 am,63.2
02-May-19 08:00:00 am,59.5
02-May-19 12:00:00 pm,56.8
02-May-19 04:00:00 pm,60.4
03-May-19 04:00:00 am,64.0
03-May-19 08:00:00 am,59.3
03-May-19 04:00:00 pm,60.4
04-May-19 12:00:00 pm,59.4
04-May-19 08:00:00 pm,60.3
05-May-19 12:00:00 pm,59.7
05-May-19 08:00:00 pm,60.5
06-May-19 04:00:00 am,62.6
06-May-19 08:00:00 am,59.6
06-May-19 04:00:00 pm,60.9
07-May-19 04:00:00 am,58.8
07-May-19 08:00:00 am,58.4
07-May-19 04:00:00 pm,59.9
07-May-19 08:00:00 pm,60.4
08-May-19 04:00:00 am,59.4
08-May-19 04:00:00 pm,59.4
08-May-19 08:00:00 pm,60.6
09-May-19 04:00:00 am,59.2
09-May-19 04:00:00 pm,57.7
09-May-19 08:00:00 pm,60.5
10-May-19 04:00:00 am,59.4
10-May-19 08:00:00 pm,60.4
11-May-19 12:00:00 pm,59.4
11-May-19 08:00:00 pm,60.6
12-May-19 04:00:00 pm,61.3
12-May-19 08:00:00 pm,62.3
13-May-19 04:00:00 am,59.7
13-May-19 08:00:00 am,55.3
13-May-19 12:00:00 pm,59.9
13-May-19 04:00:00 pm,60.5
14-May-19 04:00:00 am,63.4
14-May-19 08:00:00 am,59.5
14-May-19 04:00:00 pm,60.6
15-May-19 08:00:00 am,59.1
15-May-19 04:00:00 pm,60.4
16-May-19 04:00:00 am,64.1
16-May-19 08:00:00 am,59.4
16-May-19 04:00:00 pm,60.6
17-May-19 04:00:00 am,64.3
17-May-19 08:00:00 am,59.6
17-May-19 04:00:00 pm,60.8
18-May-19 12:00:00 pm,59.7
18-May-19 04:00:00 pm,59.9
18-May-19 08:00:00 pm,58.9
19-May-19 12:00:00 am,63.2
19-May-19 12:00:00 pm,60.6
19-May-19 04:00:00 pm,59.1
19-May-19 08:00:00 pm,64.1
20-May-19 04:00:00 am,59.3
20-May-19 04:00:00 pm,57.7
21-May-19 04:00:00 am,64.6
21-May-19 08:00:00 am,60.6
21-May-19 12:00:00 pm,55.8
21-May-19 04:00:00 pm,60.6
22-May-19 04:00:00 am,59.5
22-May-19 04:00:00 pm,60.4
23-May-19 04:00:00 am,59.6
23-May-19 04:00:00 pm,59.4
23-May-19 08:00:00 pm,60.7
24-May-19 04:00:00 am,59.7
24-May-19 08:00:00 am,56.7
24-May-19 04:00:00 pm,60.4
27-May-19 04:00:00 am,59.4
27-May-19 04:00:00 pm,60.0
27-May-19 08:00:00 pm,60.6
28-May-19 04:00:00 am,59.5
28-May-19 04:00:00 pm,60.6
29-May-19 04:00:00 am,59.6
29-May-19 08:00:00 am,58.2
29-May-19 04:00:00 pm,60.7
30-May-19 04:00:00 am,59.6
30-May-19 04:00:00 pm,60.3
30-May-19 08:00:00 pm,59.9
31-May-19 04:00:00 am,59.4
31-May-19 04:00:00 pm,60.0
31-May-19 08:00:00 pm,60.7
01-Jun-19 04:00:00 pm,59.3
01-Jun-19 08:00:00 pm,60.3
02-Jun-19 12:00:00 pm,59.3
02-Jun-19 04:00:00 pm,58.2
02-Jun-19 08:00:00 pm,62.9
03-Jun-19 04:00:00 am,58.1
03-Jun-19 04:00:00 pm,60.3
04-Jun-19 04:00:00 am,59.8
04-Jun-19 08:00:00 am,57.1
04-Jun-19 04:00:00 pm,60.4
05-Jun-19 04:00:00 am,59.1
05-Jun-19 04:00:00 pm,60.4
06-Jun-19 04:00:00 am,59.5
06-Jun-19 04:00:00 pm,60.5
07-Jun-19 04:00:00 am,59.6
07-Jun-19 08:00:00 am,59.5
07-Jun-19 04:00:00 pm,60.6
09-Jun-19 04:00:00 pm,59.6
09-Jun-19 08:00:00 pm,60.7
10-Jun-19 04:00:00 am,59.6
10-Jun-19 04:00:00 pm,60.0
10-Jun-19 08:00:00 pm,60.4
11-Jun-19 04:00:00 am,59.5
11-Jun-19 04:00:00 pm,57.4
11-Jun-19 08:00:00 pm,60.5
12-Jun-19 04:00:00 am,59.4
12-Jun-19 04:00:00 pm,58.4
12-Jun-19 08:00:00 pm,59.5
13-Jun-19 04:00:00 am,60.4
13-Jun-19 04:00:00 pm,60.3
14-Jun-19 04:00:00 am,59.3
14-Jun-19 04:00:00 pm,60.4
15-Jun-19 04:00:00 pm,59.2
15-Jun-19 08:00:00 pm,60.5
16-Jun-19 12:00:00 pm,59.2
16-Jun-19 08:00:00 pm,60.4
17-Jun-19 04:00:00 am,59.7
17-Jun-19 04:00:00 pm,60.8
18-Jun-19 04:00:00 am,59.3
18-Jun-19 04:00:00 pm,60.2
19-Jun-19 04:00:00 am,59.7
19-Jun-19 04:00:00 pm,60.7
20-Jun-19 04:00:00 am,59.7
20-Jun-19 08:00:00 am,60.3
20-Jun-19 12:00:00 pm,55.0
20-Jun-19 04:00:00 pm,60.3
21-Jun-19 04:00:00 am,59.5
21-Jun-19 08:00:00 am,56.6
21-Jun-19 04:00:00 pm,60.2
24-Jun-19 04:00:00 am,59.2
24-Jun-19 08:00:00 am,61.1
24-Jun-19 12:00:00 pm,58.6
24-Jun-19 04:00:00 pm,60.6
25-Jun-19 04:00:00 am,59.5
25-Jun-19 04:00:00 pm,60.5
26-Jun-19 04:00:00 am,59.6
26-Jun-19 08:00:00 am,57.1
26-Jun-19 04:00:00 pm,60.7
27-Jun-19 04:00:00 am,59.8
27-Jun-19 08:00:00 am,58.2
27-Jun-19 04:00:00 pm,60.4
28-Jun-19 04:00:00 am,60.4
28-Jun-19 08:00:00 am,60.6
28-Jun-19 04:00:00 pm,60.6
29-Jun-19 12:00:00 pm,59.4
29-Jun-19 08:00:00 pm,60.6
30-Jun-19 12:00:00 pm,59.6
01-Jul-19 12:00:00 am,60.8
01-Jul-19 04:00:00 am,58.2
01-Jul-19 04:00:00 pm,58.3
01-Jul-19 08:00:00 pm,60.7
02-Jul-19 04:00:00 am,59.1
02-Jul-19 04:00:00 pm,60.2
03-Jul-19 04:00:00 am,60.4
03-Jul-19 08:00:00 am,60.5
03-Jul-19 12:00:00 pm,58.4
03-Jul-19 04:00:00 pm,60.5
04-Jul-19 04:00:00 am,58.7
04-Jul-19 04:00:00 pm,60.1
05-Jul-19 04:00:00 am,59.6
05-Jul-19 04:00:00 pm,60.5
08-Jul-19 04:00:00 am,59.2
08-Jul-19 04:00:00 pm,60.5
09-Jul-19 04:00:00 am,59.4
09-Jul-19 04:00:00 pm,60.5
10-Jul-19 04:00:00 am,59.5
10-Jul-19 04:00:00 pm,62.3
11-Jul-19 04:00:00 am,59.8
11-Jul-19 04:00:00 pm,60.8
12-Jul-19 04:00:00 am,59.8
12-Jul-19 04:00:00 pm,58.4
12-Jul-19 08:00:00 pm,60.5
13-Jul-19 12:00:00 pm,59.6
13-Jul-19 08:00:00 pm,60.8
14-Jul-19 12:00:00 pm,59.5
14-Jul-19 08:00:00 pm,60.6
15-Jul-19 04:00:00 am,59.8
15-Jul-19 04:00:00 pm,60.8
16-Jul-19 04:00:00 am,59.5
16-Jul-19 04:00:00 pm,60.3
16-Jul-19 08:00:00 pm,60.3
17-Jul-19 04:00:00 am,59.2
17-Jul-19 04:00:00 pm,60.6
