Timestamp,RTU_1 OccManCmd
22-Mar-19 06:00:13 am,Occ
22-Mar-19 06:01:01 pm,Unocc
23-Mar-19 09:57:49 am,Occ
23-Mar-19 10:28:02 am,Unocc
24-Mar-19 03:40:30 pm,Occ
24-Mar-19 04:10:56 pm,Unocc
24-Mar-19 04:38:50 pm,Occ
24-Mar-19 05:09:17 pm,Unocc
25-Mar-19 06:00:12 am,Occ
25-Mar-19 06:02:16 pm,Unocc
25-Mar-19 09:47:22 pm,Occ
25-Mar-19 10:18:34 pm,Unocc
26-Mar-19 06:00:09 am,Occ
26-Mar-19 06:00:57 pm,Unocc
26-Mar-19 10:08:15 pm,Occ
26-Mar-19 10:39:15 pm,Unocc
27-Mar-19 06:00:08 am,Occ
27-Mar-19 06:01:04 pm,Unocc
27-Mar-19 09:13:52 pm,Occ
27-Mar-19 09:43:53 pm,Unocc
28-Mar-19 06:00:14 am,Occ
28-Mar-19 06:00:43 pm,Unocc
28-Mar-19 08:23:06 pm,Occ
28-Mar-19 08:53:15 pm,Unocc
29-Mar-19 06:00:15 am,Occ
29-Mar-19 06:00:44 pm,Unocc
31-Mar-19 04:48:22 pm,Occ
31-Mar-19 05:18:50 pm,Unocc
01-Apr-19 06:00:51 am,Occ
01-Apr-19 06:00:45 pm,Unocc
01-Apr-19 08:20:16 pm,Occ
01-Apr-19 08:51:47 pm,Unocc
02-Apr-19 06:00:12 am,Occ
02-Apr-19 06:00:44 pm,Unocc
02-Apr-19 08:26:57 pm,Occ
02-Apr-19 08:57:11 pm,Unocc
03-Apr-19 06:00:12 am,Occ
03-Apr-19 06:01:13 pm,Unocc
03-Apr-19 06:22:49 pm,Occ
03-Apr-19 06:53:42 pm,Unocc
03-Apr-19 08:23:56 pm,Occ
03-Apr-19 08:55:10 pm,Unocc
04-Apr-19 06:00:28 am,Occ
04-Apr-19 06:00:54 pm,Unocc
05-Apr-19 06:00:05 am,Occ
05-Apr-19 06:00:46 pm,Unocc
06-Apr-19 05:22:34 am,Occ
06-Apr-19 05:52:46 am,Unocc
07-Apr-19 09:41:42 am,Occ
07-Apr-19 10:12:25 am,Unocc
07-Apr-19 12:23:50 pm,Occ
07-Apr-19 12:54:02 pm,Unocc
07-Apr-19 04:02:06 pm,Occ
07-Apr-19 04:32:17 pm,Unocc
08-Apr-19 06:00:12 am,Occ
08-Apr-19 06:01:23 pm,Unocc
09-Apr-19 06:00:16 am,Occ
09-Apr-19 06:00:55 pm,Unocc
10-Apr-19 06:00:03 am,Occ
10-Apr-19 06:01:00 pm,Unocc
11-Apr-19 12:18:24 am,Unocc
11-Apr-19 06:00:38 am,Occ
11-Apr-19 06:00:54 pm,Unocc
11-Apr-19 08:29:12 pm,Occ
11-Apr-19 08:59:25 pm,Unocc
11-Apr-19 11:48:51 pm,Occ
12-Apr-19 12:19:19 am,Unocc
12-Apr-19 06:00:04 am,Occ
12-Apr-19 06:00:55 pm,Unocc
13-Apr-19 09:01:42 am,Occ
