Timestamp,RTU_1 EconoStatus
14-Oct-19 08:54:03 pm,Enabled
15-Oct-19 08:30:54 pm,OffAmb
15-Oct-19 09:25:39 pm,Enabled
16-Oct-19 11:32:37 am,OffAmb
17-Oct-19 01:46:14 am,Enabled
17-Oct-19 01:19:36 pm,OffAmb
17-Oct-19 02:38:57 pm,Enabled
17-Oct-19 10:45:51 pm,OffAmb
17-Oct-19 11:28:54 pm,Enabled
20-Oct-19 05:29:02 pm,OffAmb
20-Oct-19 06:09:26 pm,Enabled
21-Oct-19 04:03:55 pm,OffAmb
22-Oct-19 03:41:53 pm,Enabled
22-Oct-19 04:19:47 pm,OffAmb
22-Oct-19 07:32:53 pm,Enabled
22-Oct-19 10:29:41 pm,OffAmb
22-Oct-19 11:00:19 pm,Enabled
23-Oct-19 10:30:47 pm,OffAmb
23-Oct-19 10:54:26 pm,Enabled
24-Oct-19 05:39:00 pm,OffAmb
25-Oct-19 01:37:32 am,Enabled
25-Oct-19 09:26:18 am,OffAmb
25-Oct-19 12:11:59 pm,Enabled
10-Nov-19 01:55:02 pm,OffAmb
10-Nov-19 04:45:17 pm,Enabled
10-Nov-19 06:58:36 pm,OffAmb
10-Nov-19 07:24:41 pm,Enabled
11-Nov-19 09:28:11 pm,OffAmb
11-Nov-19 09:54:24 pm,Enabled
12-Nov-19 10:34:13 pm,OffAmb
12-Nov-19 11:19:23 pm,Enabled
13-Nov-19 10:28:05 pm,OffAmb
13-Nov-19 10:49:12 pm,Enabled
14-Nov-19 10:36:09 pm,OffAmb
14-Nov-19 11:03:28 pm,Enabled
15-Nov-19 11:05:17 am,OffAmb
15-Nov-19 07:54:20 pm,Enabled
16-Nov-19 08:15:12 pm,OffAmb
16-Nov-19 08:54:26 pm,Enabled
17-Nov-19 11:21:46 am,OffAmb
17-Nov-19 10:21:09 pm,Enabled
22-Nov-19 01:19:18 pm,Enabled
22-Nov-19 01:19:48 pm,Enabled
22-Nov-19 01:27:25 pm,Enabled
22-Nov-19 01:27:26 pm,Enabled
05-Dec-19 06:29:08 pm,OffAmb
05-Dec-19 06:47:55 pm,Enabled
07-Dec-19 02:31:38 am,OffAmb
07-Dec-19 02:35:22 am,Enabled
07-Dec-19 07:55:17 pm,OffAmb
07-Dec-19 08:04:10 pm,Enabled
19-Dec-19 10:16:26 pm,OffAmb
19-Dec-19 11:23:03 pm,Enabled
